,pd_0,pd_10,pd_15,pd_20,pd_25,pd_5
dice,0.8575 +/- 0.0863,0.8732 +/- 0.0675,0.8738 +/- 0.0555,0.8682 +/- 0.0438,0.8550 +/- 0.0332,0.8667 +/- 0.0791
nsd,0.7895 +/- 0.1030,0.8710 +/- 0.0544,0.8906 +/- 0.0398,0.8910 +/- 0.0417,0.8760 +/- 0.0549,0.8346 +/- 0.0801
precision,0.8056 +/- 0.1229,0.8559 +/- 0.1134,0.8804 +/- 0.1051,0.9013 +/- 0.0960,0.9173 +/- 0.0869,0.8290 +/- 0.1204
recall,0.9256 +/- 0.0392,0.8995 +/- 0.0231,0.8754 +/- 0.0237,0.8450 +/- 0.0306,0.8078 +/- 0.0385,0.9167 +/- 0.0310
