,pd_0,pd_10,pd_15,pd_20,pd_25,pd_5
dice_bounded,0.8945 +/- 0.0553,0.9028 +/- 0.0426,0.9002 +/- 0.0338,0.8930 +/- 0.0268,0.8804 +/- 0.0235,0.9019 +/- 0.0515
nsd_bounded,0.8247 +/- 0.0892,0.9031 +/- 0.0408,0.9164 +/- 0.0266,0.9132 +/- 0.0357,0.8969 +/- 0.0550,0.8724 +/- 0.0659
precision_bounded,0.8598 +/- 0.0798,0.8974 +/- 0.0726,0.9137 +/- 0.0652,0.9277 +/- 0.0576,0.9390 +/- 0.0507,0.8806 +/- 0.0790
recall_bounded,0.9350 +/- 0.0328,0.9112 +/- 0.0228,0.8901 +/- 0.0263,0.8640 +/- 0.0345,0.8323 +/- 0.0434,0.9270 +/- 0.0274
