,pd_0,pd_10,pd_15,pd_20,pd_25,pd_5
dice_bounded,0.8935 +/- 0.0563,0.9031 +/- 0.0419,0.9010 +/- 0.0331,0.8939 +/- 0.0264,0.8809 +/- 0.0237,0.9013 +/- 0.0504
nsd_bounded,0.8215 +/- 0.0864,0.8987 +/- 0.0436,0.9140 +/- 0.0279,0.9119 +/- 0.0362,0.8966 +/- 0.0555,0.8708 +/- 0.0668
precision_bounded,0.8581 +/- 0.0817,0.8972 +/- 0.0723,0.9141 +/- 0.0649,0.9282 +/- 0.0573,0.9393 +/- 0.0507,0.8796 +/- 0.0779
recall_bounded,0.9350 +/- 0.0325,0.9118 +/- 0.0224,0.8913 +/- 0.0265,0.8653 +/- 0.0351,0.8330 +/- 0.0439,0.9267 +/- 0.0260
